word	phoneme	tag
নামজুক্ত	n a m j u kt O	native
নামপত্র	n a m p o tr O	native
নামমাত্র	n a m m a tr O	native
নামসর্বস্ব	n a m sh o r b o sh sh O	tatsama
নামেমাত্র	n a m e m a tr O	native
নাম্ব	n a mb O	native
নারায়ণগঞ্জ	n a r a y O n g o nj	proper_noun
নারায়নগঞ্জ	n a r a y o n g o nj	tatsama
নারায়নচন্দ্র	n a r a y o n ch o ndr O	native
নারিকন্ঠ	n a r i k o n Th o	native
নারিগ্রন্থ	n a r i gr O n th o	native
নারিত্ব	n a r i tt O	tatsama
নারিমঞ্চ	n a r i m o nch o	tatsama
নারিসদস্য	n a r i sh o d o sh sh O	native
নারিস্বাস্থ্য	n a r i sh a s th O	tatsama
নার্ভ	n a r bh	native
নার্স	n a r s	loanword
নাশ্য	n a sh sh o	native
না্ম	n a m	native
নায়নার্স	n a y n a r sh	native
না–দুরস্ত	n a d u r O st O t	native
নিঃশব্দ	n i sh sh o b d O	tatsama
নিঃশর্ত	n i sh sh o r t O	tatsama
নিঃস্ব	n i sh sh O	tatsama
নিঃস্বার্থ	n i sh sh a r th O	tatsama
নিউইয়র্ক	n i u i o r k	native
নিউজপ্রিন্ট	n i u j pr i n T	loanword
নিউজিল্যন্ড	n i u j i l A n D	native
নিউজিল্যান্ড	n i u j i l A n D	native
নিউরোডেভেলপমেন্ট	n i u r O D e bh e l o p m e n T	compound
নিকটস্থ	n i k o T o sth O	native
নিকুঞ্জ	n i k u nj O	tatsama
নিকৃত্ত	n i k ri tt O	tatsama
নিকৃশ্ট	n i k r i sh T O	tatsama
নিক্ষিপ্ত	n i kkh i p t O	tatsama
নিক্ষেপনজোগ্য	n i kkh e p O n j O g g O	tatsama
নিখর্ব	n i kh o r b O	native
নিগন্থ	n i g o n th o	native
নিগমানন্দ	n i g o m a n o nd o	native
নিগির্ন	n i g i r n O	native
নিঘ্ন	n i gh n O	native
নিচ্ছ	n i ch chh O	native
নিচ্ছিদ্র	n i ch chh i d r O	native
নিচ্ছিন্দ	n i ch chh i nd o	native
নিজন্ত	n i j o nt O	native
নিজস্ব	n i j O sh sh O	tatsama
নিজুক্ত	n i j u kt O	native
নিজোজ্য	n i j O j j o	native
নিতম্ব	n i t o mb O	native
নিতাইগঞ্জ	n i t a i g o nj	tatsama
নিতান্ত	n i t a nt O	native
নিতিনিশ্ঠ	n i t i n i sh Th o	native
নিতিবাক্য	n i t i b a k k o	native
নিতিবিরুদ্ধ	n i t i b i r u d dh o	tatsama
নিতিভ্রশ্ট	n i t i bh r O sh T o	native
নিতিসংক্রান্ত	n i t i sh o ng kr a nt O	compound
নিত্ত	n i tt O	native
নিত্য	n i t t O	native
নিত্যপন্য	n i t t O p O n n O	native
নিত্যব্যবহার্য	n i t t O b A b O h a r j O	compound
নিত্যানন্দ	n i t t a n o nd O	native
নিধনজজ্ঞ	n i dh o n j O g g O	tatsama
নিধার্য	n i dh a r j O	native
নিন্দ	n i nd o	native
নিন্দ্য	n i nd O	native
নিপোর্ট	n i p O r T	native
নিবদ্ধ	n i b o d dh O	tatsama
নিবন্ধ	n i b o ndh O	tatsama
নিবন্ধনপত্র	n i b o ndh o n p o tr O	tatsama
নিবন্ধনভুক্ত	n i b o ndh o n bh u kt O	tatsama
নিবন্ধনসংক্রান্ত	n i b o ndh o n sh o ng kr a nt O	compound
নিবর্ত	n i b o r t O	native
নিবিশ্ট	n i b i sh T O	native
নিবৃত্ত	n i b b ri tt O	tatsama
নিমগ্ন	n i m o g n O	native
নিমচন্দ্র	n i m ch o ndr O	native
নিমন্ত্রণপত্র	n i m O n t r O n p o tr O	tatsama
নিমন্ত্রনপত্র	n i m O n t r O n p o tr O	compound
নিমিত্ত	n i m i tt O	native
নিমিশ্ল	n i m i sh l O	native
নিম্ন	n i m n O	native
নিম্নকক্ষ	n i m n O k O kkh O	tatsama
নিম্নকন্ঠ	n i m n o k o n Th o	native
নিম্নপদস্থ	n i m n o p o d o sth o	native
নিম্নবর্গ	n i m n o b o r g o	native
নিম্নবিত্ত	n i m n O b i tt O	native
নিম্নমধ্য	n i m n O m O d dh O	native
নিম্নমধ্যবিত্ত	n i m n O m O d dh O b i tt O	native
নিম্নোক্ত	n i m n O kt O	native
নিরক্ত	n i r o kt O	native
নিরক্ষ	n i r O kkh O	tatsama
নিরক্ষরতামুক্ত	n i r o kkh o r o t a m u kt O	tatsama
নিরক্ষরমুক্ত	n i r o kkh o r m u kt O	tatsama
নিরন্ধ্র	n i r o n dh r O	tatsama
নিরন্ন	n i r o nn O	native
নিরপেক্ষ	n i r O p e kkh O	tatsama
নিরবচ্ছিন্ন	n i r o b O ch chh i nn O	native
নিরবদ্য	n o r O b O d d O	native
নিরবিচ্ছিন্ন	n i r O b i ch chh i nn O	native
নিরভ্র	n i r o b bh r O	native
নিরর্থ	n i r o r th O	native
নিরস্ত	n i r o st O	native
নিরস্ত্র	n i r o s t r O	native
নিরানন্দ	n i r a n o nd O	native
নিরাপত্তাকেন্দ্র	n i r a p o tt a k e ndr O	compound
নিরাপত্তাসংক্রান্ত	n i r a p o tt a sh o ng kr a nt O	compound
নিরাপত্তাসংশ্লিশ্ট	n i r a p o tt a sh o ng sh l i sh T o	compound
নিরাময়কেন্দ্র	n i r a m o y k e ndr O	compound
নিরাময়জোগ্য	n i r a m o y j O g g o	native
নিরালম্ব	n i r a l o mb O	native
নিরালস্য	n i r a l O sh sh O	native
নিরাসক্ত	n i r a sh O kt O	native
নিরিক্ষাকেন্দ্র	n i r i kkh a k e ndr O	tatsama
নিরুক্ত	n i r u kt O	native
নিরুদ্দিশ্ট	n i r u d d i sh T O	native
নিরুদ্ধ	n i r u d dh O	tatsama
নিরুপদ্র	n i r u p O d r O b	native
নির্গন্ধ	n i r g o ndh O	tatsama
নির্গ্রন্থ	n i r g r O n th O	native
নির্ঘন্ট	n i r gh o n T O	native
নির্দিশ্ট	n i r d i sh T O	native
নির্দেশকমুল্য	n i r d e sh o k m u l l O	compound
নির্দ্বন্দ্ব	n i r d o nd O	native
নির্ধারনসংক্রান্ত	n i r dh a r o n sh o ng kr a nt O	compound
নির্ধার্য	n i r dh a r j O	native
নির্নিমিত্ত	n i r n i m i tt O	native
নির্বন্ধ	n i r b o ndh O	tatsama
নির্বর্ষ	n i r b o r sh O	tatsama
নির্বাচনজোগ্য	n i r b a ch o n j O g g o	compound
নির্বাচনপুর্ব	n i r b a ch o n p u r b o	compound
নির্বাচনসংক্রান্ত	n i r b a ch o n sh o ng kr a nt O	compound
নির্বাচনসংশ্লিশ্ট	n i r b a ch o n sh o ng sh l i sh T o	compound
নির্বাচনসর্বস্ব	n i r b a ch o n sh o r b o sh sh o	tatsama
নির্বাচ্য	n i r b a ch ch O	native
নির্বিকল্প	n i r o i b o k o l p O	native
নির্বিঘ্ন	n i r b i gh n O	native
নির্বিন্ন	n i r b i nn O	native
নির্ভরজোগ্য	n i r bh o r j O g g O	native
নির্মানশিল্প	n i r m a n sh i l p o	native
নির্মানসংক্রান্ত	n i r m a n sh o ng kr a nt O	compound
নির্মাল্য	n i r m a l l O	native
নির্মিতব্য	n i r m i t o b b O	native
নির্মুক্ত	n i r m u kt O	native
নির্মোচ্য	n i r m O ch ch O	native
নির্যাতনমুক্ত	n i r j a t o n m u kt O	compound
নির্লজ্জ	n i r l o j j O	native
নির্লিপ্ত	n i r l i p t O	native
নিলকন্ঠ	n i l k o n Th O	native
নিলকান্ত	n i l k a nt o	native
নিলগঞ্জ	n i l g o nj	tatsama
নিলাভ্র	n i l a b bh r O	native
নিলামজোগ্য	n i l a m j O g g o	native
নিশন্ন	n i sh o nn O	native
নিশিকান্ত	n i sh i k a nt O	native
নিশিক্ত	n i sh i kt O	native
নিশিদ্ধ	n i sh i d dh O	tatsama
নিশুপ্ত	n i sh u p t O	native
নিশ্ক	n i sh k O	native
নিশ্কম্প	n i sh k o mp O	native
নিশ্কর্ষ	n i sh k o r sh O	tatsama
নিশ্ক্রান্ত	n i sh k r a nt O	native
নিশ্চিন্ত	n i sh ch i nt O	native
নিশ্চিহ্ন	n i sh ch i n h O	native
নিশ্চেশ্ট	n i sh ch e sh T O	native
নিশ্চয়তাপত্র	n i sh ch o y o t a p o tr O	native
নিশ্ছিদ্র	n i sh chh i d r O	native
নিশ্ঠ	n i sh Th O	native
নিশ্পত্তিজোগ্য	n i sh p o tt i j O g g o	compound
নিশ্পত্র	n i sh p o tr O	native
নিশ্পন্ন	n i sh p O nn O	native
নিশ্পিশ্ট	n i sh p i sh T O	native
নিশ্যন্দ	n i sh sh o nd o	native
নিষিদ্ধ	n i sh i d dh O	tatsama
নিসকেন্স	n i sh k e n s	loanword
নিসর্গ	n i sh o r g O	native
নিসৃশ্ট	n i sh sh ri sh T O	tatsama
নিস্তব্ধ	n i st o b dh O	native
নিহিলিস্ট	n i h i l i s T o	loanword
নিয়ন্ত্রনকক্ষ	n i y o n t r O n k o kkh o	tatsama
নিয়ন্ত্রনকেন্দ্র	n i y o n t r O n k e ndr O	compound
নিয়ন্ত্রনজন্ত্র	n i y o n t r O n j o n t r O	compound
নিয়ন্ত্রনজোগ্য	n i y o n t r O n j O g g o	compound
নিয়ন্ত্রনমুক্ত	n i y o n t r O n m u kt O	compound
নিয়ন্ত্রনসংক্রান্ত	n i y o n t r O n sh o ng kr a nt O	compound
নিয়মবদ্ধ	n i y o m b o d dh o	tatsama
নিয়মসিদ্ধ	n i y o m sh i d dh o	tatsama
নিয়োগপত্র	n i y O g p o tr O	native
নিয়োগপ্রাপ্ত	n i y O g pr a p t o	native
নিয়োগসংক্রান্ত	n i y O g sh o ng kr a nt O	compound
নুডল্স	n u D o l s	native
নুতনচন্দ্র	n u t o n ch o ndr O	native
নুরেমবার্গ	n u r e m b a r g	native
নুল্যান্ড	n u l A n D	native
নৃতত্ত্ব	n ri t o t t O	tatsama
নৃত্ত	n ri tt o	tatsama
নৃত্য	n ri t t O	tatsama
নৃত্যনাট্য	n ri t t O n a T T O	tatsama
নৃত্যশিল্প	n ri t t o sh i l p o	tatsama
নেওয়াসংক্রান্ত	n E O y a sh o ng kr a nt O	compound
নেটওয়ার্ক	n e T y a r k	native
নেটওয়ার্ক	n e T O a r k	native
নেটওয়ার্কভুক্ত	n e T o O y a r k bh u kt O	compound
নেতব্য	n e t O b b O	native
নেতৃত্ব	n e t ri tt O	tatsama
নেতৃত্বশুন্য	n e t ri tt O sh u n n O	tatsama
নেতৃত্বশূন্য	n e t ri tt O sh u n n O	tatsama
নেতৃবৃন্দ	n e t ri b ri nd O	tatsama
নেত্র	n e tr O	native
নেদারল্যান্ড	n e d a r l A n D	native
নেপথ্য	n e p O t th O	native
নেভারল্যান্ড	n e bh a r l A n D	native
নেমকার্ড	n e m k a r D o	loanword
নেমন্তন্ন	n e m O nt O nn O	native
নেশাগ্রস্ত	n e sh a gr O st O	native
নেশাদ্রব্য	n e sh a d r O b b O	native
নেশাসক্ত	n e sh a sh o kt o	native
নেস্ট	n e s T	loanword
নোইঃশব্দ	n O i sh sh o b d o	tatsama
নোইকট্য	n O i k o T T o	native
নোইকশ্য	n O i k O sh sh O	native
নোইজুজ্য	n O i j u j j O	native
নোইতিকতাপুর্ন	n O i t i k o t a p u r n o	compound
নোইতিকতাসম্পন্ন	n O i t i k o t a sh o mp o nn o	compound
নোইপুন্য	n O i p u n n O	native
নোইবিদ্দ	n O i b i d d O	native
নোইবেদ্য	n O i b e d d o	native
নোইমিশারন্য	n O i m i sh a r O n n O	native
নোইরাজ্য	n O i r a j j o	native
নোইরাশ্য	n O i r a sh sh o	native
নোইর্গুন্য	n O i r g u n n O	native
নোইশব্দ	n O i sh o b d e	native
নোউবানিজ্য	n O u b a n i j j o	native
নোম্যান্স	n O m A n s	loanword
ন্যস্ত	n A st O	native
ন্যাজ্য	n A j j O	native
ন্যাজ্যপ্রাপ্য	n A j j o pr a p p o	compound
ন্যাজ্যমুল্য	n A j j O m u l l O	native
ন্যাটওয়েস্ট	n A T O y e s T	proper_noun
ন্যাটোভুক্ত	n A T O bh u kt O	native
ন্যায্যমূল্য	n A j j O m u l l O	native
ন্যাশনালিস্ট	n A sh n a l i s T	loanword
ন্যায়নিশ্ঠ	n A y n i sh Th o	native
ন্যায়রত্ন	n A y r o t n o	native
ন্যুব্জ	n u b j O	native
ন্যুরেমবার্গ	n u r e m b a r g	native
নয়নানন্দ	n o y O n a n O nd O	native
নয়নোপান্ত	n o y o n O p a nt O	native
নয়াদিগন্ত	n o y a d i g o nt o	native
পংকিলতামুক্ত	p o ng k i l o t a m u kt O	native
পংগুত্ব	p o ng g u tt o	tatsama
পকেটস্থ	p o k e T o sth O	native
পক্ব	p o k k O	native
পক্ষ	p o kkh O	tatsama
পক্ষপাতদুশ্ট	p o kkh o p a t d u sh o T o	tatsama
পক্ষপাতপুর্ন	p o kkh o p a t p u r n o	tatsama
পক্ষপাতমুক্ত	p o kkh o p a t m u kt O	tatsama
পক্ষপাতিত্ব	p o kkh O p a t i tt O	tatsama
পক্ষভুক্ত	p o kkh o bh u kt O	tatsama
পক্ষাঘাতগ্রস্ত	p o kkh a gh a t gr O st O	tatsama
পক্ষান্ত	p O kkh a nt O	tatsama
পক্ষাপক্ষ	p O kkh a p O kkh O	tatsama
পক্ষ্ম	p O kkh O	tatsama
পক্স	p o k s	native
পচ্য	p O ch ch O	native
পছন্দ	p o chh O nd O	native
পঞ্চ	p o nch O	tatsama
পঞ্চরত্ন	p o nch o r o t n o	tatsama
পঞ্চস্তম্ভ	p o nch o st o m bh o	tatsama
পঞ্চানন্দ	p o nch a n o nd O	tatsama
পঞ্চান্ন	p o nch a nn O	tatsama
পঞ্চাম্র	p o nch a m r O	tatsama
পঞ্চাম্ল	p o nch a m l O	tatsama
পঞ্চাশোর্ধ	p o nch a sh O r dh O	tatsama
পঞ্চাশোর্ধ্ব	p o n ch a sh O r dh O	tatsama
পঞ্চাস্য	p o nch a sh sh O	tatsama
পটচিত্র	p o T ch i tr O	native
পটস্থ	p o T O sth O	native
পট্ট	p o T T O	native
পড়ন্ত	p o r O nt O	native
পণ্য	p O n n O	tatsama
পতত্র	p o t O tr O	native
পতিত্ব	p o t i tt o	tatsama
পত্র	p o tr O	native
পথভ্রশ্ট	p o th O bh r O sh T O	native
পথ্য	p O t th O	native
পদকপ্রাপ্ত	p o d O k pr a p t O	native
পদচিহ্ন	p o d O ch i n h O	native
পদত্যাগপত্র	p o d O t t A g p o tr O	native
পদপিশ্ট	p o d O p i sh T O	native
পদমর্যাদাসম্পন্ন	p o d o m o r j a d a sh o mp o nn o	compound
পদস্থ	p o d O sth O	native
পদার্থ	p O d a r th O	native
পদার্থজুক্ত	p o d a r th o j u kt O	native
পদোন্নতিপ্রাপ্ত	p o d O nn o t i pr a p t o	compound
পদোন্নতিসংক্রান্ত	p o d O nn o t i sh o ng kr a nt O	compound
পদ্ধতিসংক্রান্ত	p o d dh o t i sh o ng kr a nt O	tatsama
পদ্ম	p o d d O	native
পদ্মাক্ষ	p o d d a kkh O	tatsama
পদ্য	p O d d O	native
পন্ট	p o n T	native
পন্ড	p o n D O	native
পন্ডার্স	p o n D a r sh	native
পন্ত	p o nt o	native
পন্থ	p o n th O	native
পন্য	p O n n O	native
পন্যদ্রব্য	p o n n o d r O b b O	native
পন্যমুল্য	p O n n O m u l l O	native
পপকর্ন	p o p k o r n	native
পবিত্র	p O b i tr O	native
পম্প	p o mp o	native
পয়মন্ত	p o y m o nt o	native
পয়স্য	p o y O sh sh O	native
পয়েন্ট	p o y e n T	loanword
পয়োবর্জ্য	p o y O b o r j O	native
পরচ্ছন্দ	p o r O ch chh o nd O	native
পরচ্ছিদ্র	p o r O ch chh i d r O	native
পরতন্ত্র	p o r O t o n t r O	native
পরত্র	p o r O tr O	native
পরধর্ম	p o r O dh o r m O	native
পরপুশ্ট	p o r O p u sh T O	native
পরবন্ধ	p o r b O ndh O	tatsama
পরব্রহ্ম	p o r O br O m h O	tatsama
পরমানন্দ	p o r O m a n o nd O	native
পরমানুকেন্দ্র	p o r o m a n u k e ndr O	compound
পরমানুমুক্ত	p o r o m a n u m u kt O	native
পরমান্ন	p o r O m a nn O	native
পরমার্থ	p o r O m a r th O	native
পররাশ্ট্র	p o r O r a sh T r O	loanword
পররাষ্ট্র	p o r O r a sh T r O	tatsama
পরশ্ব	p o r O sh sh O	tatsama
পরস্ব	p o r O sh sh O	tatsama
পরাক্রান্ত	p o r a kr a nt O	native
পরানগঞ্জ	p o r a n g o nj	tatsama
পরান্ন	p o r a nn O	native
পরাবর্ত	p o r a b o r t O	native
পরাবৃত্ত	p o r a b ri tt O	tatsama
পরামর্শ	p o r a m o r sh O	native
পরামর্শকেন্দ্র	p o r a m o r sh o k e ndr O	compound
পরামর্ষ	p o r a m o r sh O	tatsama
পরার্থ	p o r a r th O	native
পরার্ধ	p o r a r dh O	native
পরাস্ত	p o r a st O	native
পরাহ্ন	p o r a n h O	native
পরায়ত্ত	p o r a y O tt O	native
পরিকর্ম	p O r i k o r m O	native
পরিকল্পনাপত্র	p o r i k o l p o n a p o tr O	compound
পরিকল্পনাসংক্রান্ত	p o r i k o l p o n a sh o ng kr a nt O	compound
পরিকির্ন	p O r i k i r n O	native
পরিকেন্দ্র	p O r i k e ndr O	native
পরিক্লিশ্ট	p O r i kl i sh T O	native
পরিক্ষাকক্ষ	p O r i kkh a k o kkh O	tatsama
পরিক্ষাকেন্দ্র	p O r i kkh a k e ndr O	tatsama
পরিক্ষাসংক্রান্ত	p O r i kkh a sh o ng kr a nt O	tatsama
পরিক্ষিপ্ত	p O r i kkh i p t O	tatsama
পরিচয়পত্র	p O r i ch o y p o tr O	native
পরিচর্যাকেন্দ্র	p o r i ch o r j a k e ndr O	compound
পরিচালনাসংক্রান্ত	p o r i ch a l o n a sh o ng kr a nt O	compound
পরিচ্ছন্ন	p O r i ch chh o nn O	native
পরিচয়পত্র	p o r i ch o y p o tr O	native
পরিচয়পর্ব	p o r i ch o y p o r b o	native
পরিতপ্ত	p O r i t o p t O	native
পরিতুশ্ট	p O r i t u sh T O	native
পরিতৃপ্ত	p O r i t ri p t O	tatsama
পরিত্যক্ত	p O r i t A kt O	native
পরিত্যাক্ত	p O r i t A kt O	native
পরিত্যাজ্য	p O r i t A j j O	native
পরিদৃশ্ট	p O r i d ri sh T O	tatsama
পরিধানজোগ্য	p O r i dh a n j O g g O	native
পরিনদ্ধ	p O r i n o d dh O	tatsama
পরিপক্ক	p O r i p o k k O	native
পরিপক্ব	p O r i p o k k O	native
পরিপত্র	p O r i p o tr O	native
পরিপাকজন্ত্র	p o r i p a k j o n t r O	native
পরিপাকতন্ত্র	p O r i p a k t o n t r O	native
পরিপার্শ্ব	p o r i p a r sh o	tatsama
পরিপুর্ন	p o r i p u r n o	native
পরিপুশ্ট	p o r i p u sh T o	native
পরিপৃক্ত	p O r i p ri kt O	tatsama
পরিবন্ধ	p O r i b o ndh O	tatsama
পরিবর্ত	p O r i b o r t O	native
পরিবর্তনজোগ্য	p o r i b o r t o n j O g g o	compound
পরিবর্তনযোগ্য	p O r i b o r t O n j O g g O	native
পরিবর্তনসংক্রান্ত	p o r i b o r t o n sh o ng kr a nt O	compound
পরিবহনসংশ্লিশ্ট	p o r i b o h o n sh o ng sh l i sh T o	compound
পরিবারতন্ত্র	p o r i b a r t o n t r O	native
পরিবারবর্গ	p O r i b a r b o r g O	native
পরিবারভুক্ত	p O r i b a r bh u kt O	native
পরিবৃত্ত	p O r i b ri tt O	tatsama
পরিবেশসংক্রান্ত	p o r i b e sh sh o ng kr a nt O	compound
পরিব্যাপ্ত	p O r i b b A p t O	native
পরিভুক্ত	p O r i bh u kt O	native
পরিমাপজোগ্য	p o r i m a p j O g g o	native
পরিমোক্ষ	p O r i m O kkh O	tatsama
পরিশদভুক্ত	p o r i sh o d bh u kt O	native
পরিশদসংক্রান্ত	p o r i sh o d sh o ng kr a nt O	compound
পরিশদসংলগ্ন	p o r i sh o d sh o ng l o g n o	native
পরিশব্দ	p o r i sh o b d o	native
পরিশিশ্ট	p O r i sh i sh T O	native
পরিশুদ্ধ	p O r i sh u d dh O	tatsama
পরিশুশ্ক	p O r i sh u sh k O	native
পরিশোধজোগ্য	p o r i sh O dh j O g g o	native
পরিশোধনজন্ত্র	p o r i sh O dh o n j o n t r O	compound
পরিশোধযোগ্য	p O r i sh O dh j O g g O	native
পরিশ্রমলব্ধ	p o r i s r O m l o b dh o	native
পরিশ্রমসাধ্য	p o r i s r O m sh a d dh o	native
পরিশ্রান্ত	p O r i s r a nt O	native
পরিসংখ্য	p O r i sh O ng kh a	native
পরিসভ্য	p O r i sh O bh bh O	native
পরিসুস্থ	p O r i sh u sth O	native
পরিহারজোগ্য	p o r i h a r j O g g o	native
পরিহার্য	p O r i h a r j O	native
পরিয়ন্ত	p O r i y O nt O	native
পরোক্ষ	p o r O kkh O	tatsama
পরোপজিব্য	p o r O p O j i b b O	native
পরোয়ানাভুক্ত	p o r O y a n a bh u kt O	native
পর্ন	p o r n	native
পর্নোচিত্র	p o r n O ch i tr O	native
পর্ব	p o r b O	native
পর্য	p o r j o	native
পর্যটকশুন্য	p o r j O T o k sh u n n O	native
পর্যটনকেন্দ্র	p o r j O T o n k e ndr O	compound
পর্যটনবর্ষ	p o r j o T o n b o r sh o	tatsama
পর্যটনশিল্প	p o r j O T o n sh i l p O	native
পর্যটনসংক্রান্ত	p o r j o T o n sh o ng kr a nt O	compound
পর্যন্ত	p O r j O nt O	native
পর্যপুর্ন	p o r j o p u r n o	native
পর্যস্ত	p O r j O st O	native
পর্যাপ্ত	p o r j a p t O	native
পর্যাবৃত্ত	p O r j a b ri tt O	tatsama
পর্যালোচনাসংক্রান্ত	p o r j a l O ch o n a sh o ng kr a nt O	compound
পর্যায়ভুক্ত	p o r j a y bh u kt O	native
পর্যুদস্ত	p O r j u d O st O	native
পর্য্যন্ত	p O r j O nt O	native
পলান্ন	p o l a nn O	native
পলিটিক্স	p o l i T i k s	loanword
পলোগ্রাউন্ড	p o l O gr a u n D o	native
পশুখাদ্য	p O sh u kh a d d O	native
পশুত্ব	p o sh u tt o	tatsama
পশ্চার্ধ	p o sh ch a r dh O	native
পশ্চিমবং্গ	p O sh ch i m b o ng g O	native
পশ্চিমবঙ্গ	p O sh ch i m b o ngg O	native
পশ্ট	p o sh T O	native
পসন্দ	p o sh o nd o	native
পসন্ন	p o sh o nn o	native
পাউন্ড	p a u n D	loanword
পাওয়ামাত্র	p a O y a m a tr O	native
পাওয়ার্ড	p a O y a r D	loanword
পাকাপোক্ত	p a k a p O kt O	native
পাচারসংক্রান্ত	p a ch a r sh o ng kr a nt O	compound
পাচ্ছ	p a ch chh O	native
পাচ্য	p a ch ch O	native
পাঞ্চ	p a nch	tatsama
পাঞ্চজন্য	p a nch O j o n n O	tatsama
পাটজাতদ্রব্য	p a T j a t d r O b b O	native
পাটজাতপন্য	p a T j a t p o n n o	native
পাটপণ্য	p a T p o n n O	tatsama
পাটপন্য	p a T p o n n O	native
পাটলিপুত্র	p a T O l i p u tr O	native
পাটশিল্প	p a T sh i l p o	native
পাঠকক্ষ	p a Th k o kkh o	tatsama
পাঠচক্র	p a Th ch o kr O	native
পাঠজোগ্য	p a Th j O g g o	native
পাঠ্য	p a T Th O	native
পাতিত্য	p a t i t t O	native
পাতিব্রত্য	p a t i br O t t O	native
পাত্র	p a tr O	native
পাত্রপক্ষ	p a tr O p O kkh O	tatsama
পাত্রস্থ	p a tr O sth o	native
পাত্রিপক্ষ	p a tr i p O kkh O	tatsama
পাথরখন্ড	p a th o r kh o n D o	native
পাদুকাশিল্প	p a d u k a sh i l p o	native
পাদ্য	p a d d O	native
পানজোগ্য	p a n j O g g O	native
পানাসক্ত	p a n a sh o kt O	native
পানিচক্র	p a n i ch o kr O	native
পানিবিশেশজ্ঞ	p a n i b i sh e sh o g g o	tatsama
পানিশমেন্ট	p a n i sh m e n T	native
পানিশুন্য	p a n i sh u n n O	native
পানিসংক্রান্ত	p a n i sh o ng kr a nt O	compound
পান্ট	p a n T	loanword
পান্ডিত্য	p a n D i t t O	native
পান্ড্য	p a n D O	native
পান্থ	p a n th O	native
পান্থকুঞ্জ	p a n th O k u nj O	tatsama
পাপবিদ্ধ	p a p b i d dh o	tatsama
পাপমুক্ত	p a p m u kt O	native
পাবন্দ	p a b o nd O	native
পাবর্ত্য	p a r b o t t o	native
পাবলিকেশন্স	p a b l i k e sh o n s	loanword
পাবলিশার্স	p a b l i sh a r s	native
পাম্প	p a mp	native
পাম্পসংলগ্ন	p a mp sh o ng l o g n o	native
পারকিনসন্স	p a r k i n s o n s	loanword
পারক্য	p a r O k k O	native
পারটেক্স	p a r T e k s	loanword
পারতন্ত্র্য	p a r O t o nt r O	native
পারদেশ্য	p a r O d e sh sh O	native
পারফরমেন্স	p a r ph o r m e n s	loanword
পারফরম্যান্স	p a r ph o r m A n s	loanword
পারফর্ম	p a r ph o r m	native
পারফর্মেন্স	p a r ph o r m e n s	loanword
পারফেকশনিস্ট	p a r ph e k sh o n i s T	loanword
পারফেক্ট	p a r ph A k T	native
পারবশ্য	p a r O b O sh sh O	native
পারমানেন্ট	p a r m a n e n T	loanword
পারমাফ্রস্ট	p a r o m a ph r O s T	loanword
পারম্পর্য	p a r O mp O r j O	native
পারশ্য	p a r o sh sh o	native
পারসেন্ট	p a r s e n T	loanword
পারস্য	p a r O sh sh O	native
পারিন্দ্র	p a r i ndr O	native
পারিপাট্য	p a r i p a T T O	native
পারিব্রজ্য	p a r i br O j j O	native
পারুশ্য	p a r u sh sh O	native
পার্ক	p a r k	native
পার্কসংলগ্ন	p a r k sh o ng l o g n o	native
পার্ট	p a r T	loanword
পার্টনার্স	p a r T n a r s	native
পার্থ	p a r th O	native
পার্থক্য	p a r th O k k O	native
পার্বত্য	p a r b O t t O	native
পার্মানেন্ট	p a r m a n e n T	native
পার্ল	p a r l	native
পার্লামেন্ট	p a r l a m e n T	native
পার্শ	p a r sh O p O r i b o r t O n	native
পার্শ্ব	p a r sh O	tatsama
পার্শ্বচরিত্র	p a r sh o ch o r i tr O	tatsama
পার্স	p a r s	loanword
পার্সেন্ট	p a r s e n T	loanword
পালনসংক্রান্ত	p a l o n sh o ng kr a nt O	compound
পালমার্স	p a l m a r s	proper_noun
পালিত্য	p a l i t t O	native
পাল্প	p a l p	native
পাল্য	p a l l O	native
পাশন্ড	p a sh o n D o	native
পাশ্চাত্য	p a sh ch a t t O	native
পাসওয়ার্ড	p a s O y a r D	loanword
পাসওয়ার্ড	p a s O y a r D	loanword
পাসপোর্ট	p a s p O r T	loanword
পাস্ট	p a s T	loanword
পায়রাবন্দ	p a y r a b o nd O	native
পিইএমইএক্স	p i i e m i e k s	loanword
পিএবিএক্স	p i e b i e k s	loanword
পিকচার্স	p i k ch a r s	loanword
পিকার্ড	p i k a r D	loanword
পিগমেন্ট	p i g m e n T	native
পিচন্ড–চিন্ড	p i ch o n D O ch i n D O	native
পিচ্ছ	p i ch chh O	native
পিটার্স	p i T a r s	proper_noun
পিটার্সবার্গ	p i T a r s b a r g	proper_noun
পিড্য	p i D D O m a n	native
পিণ্ড	p i n D O	tatsama
পিতৃতুল্য	p i t r i t u l l o	tatsama
পিতৃত্ব	p i t ri tt O	tatsama
পিতৃপ্রদত্ত	p i t r i pr O d o tt o	tatsama
পিত্ত	p i tt O	native
পিত্র্য	p i t r O	native
পিনদ্ধ	p i n o d dh O	tatsama
পিন্ড	p i n D O	native
পিপল্স	p i p o l s	native
পিপাসার্ত	p i p a sh a r t O	native
পিরগঞ্জ	p i r g o nj	tatsama
পিশ্ট	p i sh T O	native
পিষ্ট	p i shT O	tatsama
পিসবোর্ড	p i s o b O r D o	native
পিয়ার্স	p i y a r s	proper_noun
